"country_name","number_of_attack","avg_international_povline_ratio","avg_international_povline","Assassination","Bombing/Explosion","Hostage Taking (Kidnapping)","Unknown.x","Armed Assault","Facility/Infrastructure Attack","Hostage Taking (Barricade Incident)","Unarmed Assault","Hijacking","Business","Government (General)","Police","Private Citizens & Property","Transportation","Unknown.y","Utilities","Educational Institution","Government (Diplomatic)","Journalists & Media","Maritime","Military","Other","Religious Figures/Institutions","Telecommunication","Tourists","Airports & Aircraft","NGO","Violent Political Party","Terrorists/Non-State Militia","Food or Water Supply","Abortion Related","Bus Station/Stop","Electricity","Government Building/Facility/Office","Government Personnel (excluding police, military)","Head of State","Judge/Attorney/Court","Medical/Pharmaceutical","Police Security Forces/Officers","Prison/Jail","Retail/Grocery/Bakery","Unknown","Unnamed Civilian/Unspecified","Village/City/Town/Suburb","Ambulance","Bus (excluding tourists)","Diplomatic Personnel (outside of embassy, consulate)","Embassy/Consulate","Entertainment/Cultural/Stadium/Casino","Gas","Gas/Oil/Electric","Hotel/Resort","House/Apartment/Residence","Industrial/Textiles/Factory","International Organization (peacekeeper, aid agency, compound)","Labor Union Related","Laborer (General)/Occupation Identified","Marketplace/Plaza/Square","Military Barracks/Base/Headquarters/Checkpost","Military Personnel (soldiers, troops, officers, forces)","Military Recruiting Station/Academy","Museum/Cultural Center/Cultural House","Newspaper Journalist/Staff/Facility","Other Personnel","Place of Worship","Police Building (headquarters, station, school)","Police Patrol (including vehicles and convoys)","Politician or Political Party Movement/Meeting/Rally","Protester","Radio Journalist/Staff/Facility","Refugee (including Camps/IDP/Asylum Seekers)","Religious Figure","Restaurant/Bar/Caf?","School/University/Educational Building","Student","Teacher/Professor/Instructor","Television Journalist/Staff/Facility","Tourist","Train/Train Tracks/Trolley","Vehicles/Transportation","Construction","Military Unit/Patrol/Convoy","Mining","Race/Ethnicity Identified","Religion Identified","Affiliated Institution","Airline Officer/Personnel","Airport","Bank/Commerce","Domestic NGO","International NGO","Legal Services","Memorial/Cemetery/Monument","Military Transportation/Vehicle (excluding convoys)","Multinational Corporation","Oil","Political Party Member/Rally","Public Area (garden, parking lot, garage, beach, public building, camp)","Subway","Television","Election-related","Farm/Ranch","Named Civilian","Party Official/Candidate/Other Personnel","Aircraft (not at an airport)","Civilian Maritime","Commercial Maritime","Farmer","Other (including online news agencies)","Paramilitary","Party Office/Facility","Police Checkpoint","Procession/Gathering (funeral, wedding, birthday, religious)","Rally","Taxi/Rickshaw","Terrorist","Intelligence","Telephone/Telegraph","Water Supply","Bridge/Car Tunnel","Radio","Royalty","Tour Bus/Van","Personnel","Other Facility","Alleged Informant","Food Supply","Highway/Road/Toll/Traffic Signal","Internet Infrastructure","Military Aircraft","Military Checkpoint","Multiple Telecommunication Targets","Non-State Militia","Non-combatant Personnel","Private Security Company/Firm","Tourism Travel Agency","Military Maritime","Military Weaponry","Port","Fire Fighter/Truck","Demilitarized Zone (including Green Zone)","NATO","Oil Tanker","Clinics"
"Albania",34,1.53414310117475,44760.8235294118,4,24,4,2,0,0,0,0,0,4,10,4,8,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,2,2,2,2,2,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",166,4.81265314676675,1390043.87349398,50,60,14,8,28,6,0,0,0,22,18,14,36,6,4,6,16,6,12,2,14,2,4,2,2,0,0,0,0,0,0,0,4,8,2,0,2,0,8,0,2,18,8,4,2,2,2,2,4,2,4,2,4,2,2,2,4,2,4,6,2,2,8,4,2,2,4,6,2,2,2,2,4,8,2,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",36,28.8916628015928,4736926,0,2,6,4,22,2,0,0,0,4,2,0,20,0,2,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",342,2.15827625963112,654680.564327485,50,184,8,16,40,32,2,10,0,64,68,16,68,16,0,10,8,16,22,0,28,0,12,2,0,6,6,0,0,0,0,0,8,16,16,2,10,2,10,0,14,20,0,2,0,6,0,16,0,0,0,2,6,4,0,18,6,4,18,8,0,0,18,4,8,2,4,22,0,2,0,2,2,4,0,0,2,0,8,6,0,0,0,0,0,2,4,2,16,4,2,2,12,2,6,2,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armenia",24,6.31738576272518,193848.625,10,6,2,0,4,0,2,0,0,2,12,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",39,0.563207157673827,118056.820512821,1,2,0,3,12,18,2,1,0,6,0,8,6,0,0,0,0,6,2,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,2,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",60,0.575628926040532,46721.1833333333,2,25,0,0,9,20,0,2,2,11,2,0,24,2,0,2,2,6,2,0,0,0,2,0,2,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7,2,0,0,0,1,5,2,0,0,0,0,2,0,6,0,0,0,0,0,4,2,0,2,0,0,0,2,0,2,0,2,2,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan",12,4.54877921943962,362038.166666667,2,4,0,0,4,2,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",365,28.8877282430336,34918117.9452055,56,135,16,22,96,30,8,2,0,20,67,28,122,24,6,0,20,0,10,8,6,0,10,0,0,0,2,34,8,0,0,4,0,6,12,4,5,0,10,2,4,22,20,14,0,8,0,0,2,0,2,4,4,0,0,4,12,6,2,2,0,0,4,2,2,4,8,32,4,0,0,6,2,10,6,4,2,0,6,4,0,0,0,4,12,0,0,0,2,0,2,0,0,0,0,0,10,4,0,0,8,0,10,20,0,4,2,4,2,2,8,4,2,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belarus",20,2.02129990430505,202007.85,0,12,0,0,0,6,0,2,0,0,2,4,4,2,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
